Name,File Name
Arial,arial.ttf
Arial Italic,ariali.ttf
Arial Bold,arialbd.ttf
Arial Bold Italic,arialbi.ttf
Arial Black,ariblk.ttf
Bahnschrift *,bahnschrift.ttf
Calibri Light,calibril.ttf
Calibri Light Italic,calibrili.ttf
Calibri,calibri.ttf
Calibri Italic,calibrii.ttf
Calibri Bold,calibrib.ttf
Calibri Bold Italic,calibriz.ttf
Cambria,cambria.ttc
Cambria Italic,cambriai.ttf
Cambria Bold,cambriab.ttf
Cambria Bold Italic,cambriaz.ttf
Cambria Math,cambria.ttc
Candara Light *,candaral.ttf
Candara Light Italic *,candarali.ttf
Candara,candara.ttf
Candara Italic,candarai.ttf
Candara Bold,candarab.ttf
Candara Bold Italic,candaraz.ttf
Comic Sans MS,comic.ttf
Comic Sans MS Italic,comici.ttf
Comic Sans MS Bold,comicbd.ttf
Comic Sans MS Bold Italic,comicz.ttf
Consolas,consola.ttf
Consolas Italic,consolai.ttf
Consolas Bold,consolab.ttf
Consolas Bold Italic,consolaz.ttf
Constantia,constan.ttf
Constantia Italic,constani.ttf
Constantia Bold,constanb.ttf
Constantia Bold Italic,constanz.ttf
Corbel Light *,corbell.ttf
Corbel Light Italic *,corbelli.ttf
Corbel,corbel.ttf
Corbel Italic,corbeli.ttf
Corbel Bold,corbelb.ttf
Corbel Bold Italic,corbelz.ttf
Courier New,cour.ttf
Courier New Italic,couri.ttf
Courier New Bold,courbd.ttf
Courier New Bold Italic,courbi.ttf
Ebrima,ebrima.ttf
Ebrima Bold,ebrimabd.ttf
Franklin Gothic Medium,framd.ttf
Franklin Gothic Medium Italic,framdit.ttf
Gabriola,gabriola.ttf
Gadugi,gadugi.ttf
Gadugi Bold,gadugib.ttf
Georgia,georgia.ttf
Georgia Italic,georgiai.ttf
Georgia Bold,georgiab.ttf
Georgia Bold Italic,georgiaz.ttf
HoloLens MDL2 Assets *,holomdl2.ttf
Impact,impact.ttf
Ink Free *,inkfree.ttf
Javanese Text,javatext.ttf
Leelawadee UI,leelawui.ttf
Leelawadee UI Semilight,leeluisl.ttf
Leelawadee UI Bold,leelauib.ttf
Lucida Console,lucon.ttf
Lucida Sans Unicode,l_10646.ttf
Malgun Gothic,malgun.ttf
Malgun Gothic Bold,malgunbd.ttf
Malgun Gothic Semilight *,malgunsl.ttf
Marlett,marlett.ttf
Microsoft Himalaya,himalaya.ttf
Microsoft JhengHei Light,msjhl.ttc
Microsoft JhengHei,msjh.ttc
Microsoft JhengHei Bold,msjhbd.ttc
Microsoft JhengHei UI Light,msjhl.ttc
Microsoft JhengHei UI,msjh.ttc
Microsoft JhengHei UI Bold,msjhbd.ttc
Microsoft New Tai Lue,ntailu.ttf
Microsoft New Tai Lue Bold,ntailub.ttf
Microsoft PhagsPa,phagspa.ttf
Microsoft PhagsPa Bold,phagspab.ttf
Microsoft Sans Serif,micross.ttf
Microsoft Tai Le,taile.ttf
Microsoft Tai Le Bold,taileb.ttf
Microsoft YaHei Light,msyhl.ttc
Microsoft YaHei,msyh.ttc
Microsoft YaHei Bold,msyhbd.ttc
Microsoft YaHei UI Light,msyhl.ttc
Microsoft YaHei UI,msyh.ttc
Microsoft YaHei UI Bold,msyhbd.ttc
Microsoft Yi Baiti,msyi.ttf
MingLiU-ExtB,mingliub.ttc
PMingLiU-ExtB,mingliub.ttc
MingLiU_HKSCS-ExtB,mingliub.ttc
Mongolian Baiti,monbaiti.ttf
MS Gothic,msgothic.ttc
MS PGothic,msgothic.ttc
MS UI Gothic,msgothic.ttc
MV Boli,mvboli.ttf
Myanmar Text,mmrtext.ttf
Myanmar Text Bold,mmrtextb.ttf
Nirmala UI Semilight,nirmalas.ttf
Nirmala UI,nirmala.ttf
Nirmala UI Bold,nirmalab.ttf
Palatino Linotype,pala.ttf
Palatino Linotype Italic,palai.ttf
Palatino Linotype Bold,palab.ttf
Palatino Linotype Bold Italic,palabi.ttf
Segoe MDL2 Assets *,segmdl2.ttf
Segoe Print,segoepr.ttf
Segoe Print Bold,segoeprb.ttf
Segoe Script,segoesc.ttf
Segoe Script Bold,segoescb.ttf
Segoe UI Light,segoeuil.ttf
Segoe UI Light Italic,seguili.ttf
Segoe UI Semilight,segoeuisl.ttf
Segoe UI Semilight Italic,seguisli.ttf
Segoe UI,segoeui.ttf
Segoe UI Italic,segoeuii.ttf
Segoe UI Semibold,seguisb.ttf
Segoe UI Semibold Italic,seguisbi.ttf
Segoe UI Bold,segoeuib.ttf
Segoe UI Bold Italic,segoeuiz.ttf
Segoe UI Black,seguibl.ttf
Segoe UI Black Italic,seguibli.ttf
Segoe UI Historic *,seguihis.ttf
Segoe UI Emoji,seguiemj.ttf
Segoe UI Symbol,seguisym.ttf
SimSun,simsun.ttc
NSimSun,simsun.ttc
SimSun-ExtB,simsunb.ttf
Sitka Small,sitka.ttc
Sitka Small Italic,sitkai.ttc
Sitka Small Bold,sitkab.ttc
Sitka Small Bold Italic,sitkaz.ttc
Sitka Text,sitka.ttc
Sitka Text Italic,sitkai.ttc
Sitka Text Bold,sitkab.ttc
Sitka Text Bold Italic,sitkaz.ttc
Sitka Subheading,sitka.ttc
Sitka Subheading Italic,sitkai.ttc
Sitka Subheading Bold,sitkab.ttc
Sitka Subheading Bold Italic,sitkaz.ttc
Sitka Heading,sitka.ttc
Sitka Heading Italic,sitkai.ttc
Sitka Heading Bold,sitkab.ttc
Sitka Heading Bold Italic,sitkaz.ttc
Sitka Display,sitka.ttc
Sitka Display Italic,sitkai.ttc
Sitka Display Bold,sitkab.ttc
Sitka Display Bold Italic,sitkaz.ttc
Sitka Banner,sitka.ttc
Sitka Banner Italic,sitkai.ttc
Sitka Banner Bold,sitkab.ttc
Sitka Banner Bold Italic,sitkaz.ttc
Sylfaen,sylfaen.ttf
Symbol,symbol.ttf
Tahoma,tahoma.ttf
Tahoma Bold,tahomabd.ttf
Times New Roman,times.ttf
Times New Roman Italic,timesi.ttf
Times New Roman Bold,timesbd.ttf
Times New Roman Bold Italic,timesbi.ttf
Trebuchet MS,trebuc.ttf
Trebuchet MS Italic,trebucit.ttf
Trebuchet MS Bold,trebucbd.ttf
Trebuchet MS Bold Italic,trebucbi.ttf
Verdana,verdana.ttf
Verdana Italic,verdanai.ttf
Verdana Bold,verdanab.ttf
Verdana Bold Italic,verdanaz.ttf
Webdings,webdings.ttf
Wingdings,wingding.ttf
Yu Gothic Light,yugothl.ttc
Yu Gothic Regular,yugothr.ttc
Yu Gothic Medium *,yugothm.ttc
Yu Gothic Bold,yugothb.ttc
Yu Gothic UI Light *,yugothl.ttc
Yu Gothic UI Semilight *,yugothr.ttc
Yu Gothic UI Regular *,yugothm.ttc
Yu Gothic UI Semibold *,yugothb.ttc
Yu Gothic UI Bold *,yugothb.ttc
